problem_name,size,target_sparsity,target_condition_number,actual_sparsity,actual_condition_number,instance_num,seed
problem_2x2_0.1_2_1,2,0.1,2,0.0,3.803561471729915,1,2152961691
problem_2x2_0.3_5_2,2,0.3,5,0.5,5.997070700686978,2,3402358205
problem_2x2_0.5_10_3,2,0.5,10,0.0,20.924140965275953,3,3784305344
problem_2x2_0.7_20_4,2,0.7,20,0.0,40.961547526565305,4,2747340259
problem_2x2_0.9_50_5,2,0.9,50,0.5,31.38151236474697,5,66568467
problem_4x4_0.1_2_1,4,0.1,2,0.25,4.709261925802308,1,790151807
problem_4x4_0.3_5_2,4,0.3,5,0.25,8.03520573636564,2,4251388554
problem_4x4_0.5_10_3,4,0.5,10,0.375,15.643603491798785,3,843042332
problem_4x4_0.7_20_4,4,0.7,20,0.5,40.97284126131631,4,4283004773
problem_4x4_0.9_50_5,4,0.9,50,0.75,50.765215660177,5,1376605670
problem_8x8_0.1_2_1,8,0.1,2,0.28125,3.9182398098920475,1,3345414678
problem_8x8_0.3_5_2,8,0.3,5,0.34375,7.881102690228542,2,3835096104
problem_8x8_0.5_10_3,8,0.5,10,0.5,18.971453221897026,3,920615076
problem_8x8_0.7_20_4,8,0.7,20,0.65625,38.587642119610756,4,2872587690
problem_8x8_0.9_50_5,8,0.9,50,0.78125,100.93875997882535,5,4001529671
problem_16x16_0.1_2_1,16,0.1,2,0.2578125,3.9007897846399926,1,2368309733
problem_16x16_0.3_5_2,16,0.3,5,0.40625,8.803422738515032,2,2145403110
problem_16x16_0.5_10_3,16,0.5,10,0.53125,17.44735356375786,3,3920751814
problem_16x16_0.7_20_4,16,0.7,20,0.6796875,35.886943023754064,4,1992477095
problem_16x16_0.9_50_5,16,0.9,50,0.84375,91.82990030562175,5,3097517140
